MON,lat,lon,depth,carbon_ugC_l,SST,BATHY,CHLO,logchlo,logdepth,logBiom
7,69.62,35.38,17.5,2.68776,10.58499976,-157.48032,0.602085531,-0.22034181,1.243038049,0.429390486
7,68.2,39.77,17.5,2.68776,7.734999827,-94.48819,1.246978998,0.095859139,1.243038049,0.429390486
7,68.27,39.8,17.5,2.68776,8.704999805,-94.48819,1.173269153,0.069397652,1.243038049,0.429390486
7,69.62,35.38,17.5,2.68776,10.58499976,-157.48032,0.602085531,-0.22034181,1.243038049,0.429390486
7,68.2,39.77,17.5,2.68776,7.734999827,-94.48819,1.246978998,0.095859139,1.243038049,0.429390486
7,68.27,39.8,17.5,2.68776,8.704999805,-94.48819,1.173269153,0.069397652,1.243038049,0.429390486
9,69.55,35.217,17.5,2.68776,9.234999794,-157.48032,0.790056527,-0.102341835,1.243038049,0.429390486
9,69.55,35.217,17.5,2.68776,9.234999794,-157.48032,0.790056527,-0.102341835,1.243038049,0.429390486
3,69.469,34.58,17.5,2.68776,2.459999945,-125.98425,0.381622851,-0.418365628,1.243038049,0.429390486
3,69.469,34.58,17.5,2.68776,2.459999945,-125.98425,0.381622851,-0.418365628,1.243038049,0.429390486
9,69.75,34.85,17.5,2.68776,9.244999793,-125.98425,0.742973506,-0.129026672,1.243038049,0.429390486
9,69.75,34.85,17.5,2.68776,9.244999793,-125.98425,0.742973506,-0.129026672,1.243038049,0.429390486
9,69.618,35.219,17.5,11.199,9.224999794,-157.48032,0.73036474,-0.136460202,1.243038049,1.049179245
9,69.618,35.219,17.5,11.199,9.224999794,-157.48032,0.73036474,-0.136460202,1.243038049,1.049179245
3,69.602,35.38,17.5,19.26228,2.859999936,-157.48032,0.388043851,-0.411119194,1.243038049,1.284707692
3,69.602,35.38,17.5,19.26228,2.859999936,-157.48032,0.388043851,-0.411119194,1.243038049,1.284707692
7,68.42,38.63,17.5,27.77352,10.80499976,-62.992126,1.330164313,0.123905292,1.243038049,1.443630925
7,68.42,38.63,17.5,27.77352,10.80499976,-62.992126,1.330164313,0.123905292,1.243038049,1.443630925
9,69.2,36.167,17.5,36.28476,9.144999796,-188.97638,1.105455279,0.043541178,1.243038049,1.559724255
9,69.2,36.167,17.5,36.28476,9.144999796,-188.97638,1.105455279,0.043541178,1.243038049,1.559724255
5,69.28,36.27,17.5,805.43208,3.179999929,-188.97638,1.037421107,0.01595508,1.243038049,2.906028923
5,69.28,36.27,17.5,805.43208,3.179999929,-188.97638,1.037421107,0.01595508,1.243038049,2.906028923
7,68.2,39.77,37.5,1.79184,7.734999827,-94.48819,1.246978998,0.095859139,1.574031268,0.253299227
7,68.2,39.77,37.5,1.79184,7.734999827,-94.48819,1.246978998,0.095859139,1.574031268,0.253299227
9,68.88,38.867,37.5,1.79184,9.094999797,-62.992126,0.742157757,-0.129503769,1.574031268,0.253299227
9,68.88,38.867,37.5,1.79184,9.094999797,-62.992126,0.742157757,-0.129503769,1.574031268,0.253299227
5,69.28,36.252,37.5,1.79184,3.179999929,-188.97638,1.037421107,0.01595508,1.574031268,0.253299227
5,69.28,36.252,37.5,1.79184,3.179999929,-188.97638,1.037421107,0.01595508,1.574031268,0.253299227
9,69.234,35.15,37.5,1.79184,9.209999794,-157.48032,2.669378281,0.426410123,1.574031268,0.253299227
9,69.55,35.22,37.5,1.79184,9.234999794,-157.48032,0.790056527,-0.102341835,1.574031268,0.253299227
9,68.651,38.669,37.5,1.79184,9.364999791,-62.992126,0.865825176,-0.06256979,1.574031268,0.253299227
9,69.28,36.252,37.5,1.79184,9.184999795,-188.97638,0.829120338,-0.081382432,1.574031268,0.253299227
9,69.151,36.102,37.5,1.79184,8.9349998,-188.97638,1.504974008,0.177528999,1.574031268,0.253299227
9,69.234,35.15,37.5,1.79184,9.209999794,-157.48032,2.669378281,0.426410123,1.574031268,0.253299227
9,69.55,35.22,37.5,1.79184,9.234999794,-157.48032,0.790056527,-0.102341835,1.574031268,0.253299227
9,68.651,38.669,37.5,1.79184,9.364999791,-62.992126,0.865825176,-0.06256979,1.574031268,0.253299227
9,69.28,36.252,37.5,1.79184,9.184999795,-188.97638,0.829120338,-0.081382432,1.574031268,0.253299227
9,69.151,36.102,37.5,1.79184,8.9349998,-188.97638,1.504974008,0.177528999,1.574031268,0.253299227
9,69.55,35.217,37.5,3.13572,9.234999794,-157.48032,0.790056527,-0.102341835,1.574031268,0.496337276
